,Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
173,iDnes.cz 100% Corpus,1,5,200,16,8,25,0.01,0,0.5660188978117381,1.0382847070559266e-25,0.5668778177264735,8.452787444378536e-26,18.69688385269122,0.0338725985844287
174,iDnes.cz 100% Corpus,0,10,100,20,12,30,1e-05,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
176,iDnes.cz 100% Corpus,1,5,100,12,0,25,0.1,0,0.5484083498051595,5.4259044179926634e-27,0.5319449961098527,3.270719182978329e-25,7.64872521246459,0.01751968503937
177,iDnes.cz 100% Corpus,0,10,300,12,8,30,0.0001,0,0.0889400372731003,0.1328017894763796,-0.0057069795332598,0.9233131167457344,18.69688385269122,0.0
180,iDnes.cz 100% Corpus,0,10,450,4,2,30,0.001,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
181,iDnes.cz 100% Corpus,0,5,200,5,2,20,0.0001,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
182,iDnes.cz 100% Corpus,0,10,100,5,5,20,1e-05,0,0.0621723801727753,0.2790823879748227,-0.024006628468973,0.6762422176566585,13.59773371104816,0.0
183,iDnes.cz 100% Corpus,0,15,300,2,3,30,0.01,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
184,iDnes.cz 100% Corpus,0,5,200,16,12,25,0.1,0,0.1069304571000313,0.0800069993128308,0.0534295977700014,0.3827429894629063,23.79603399433428,0.0
185,iDnes.cz 100% Corpus,1,5,450,5,8,30,0.0001,0,0.5527633210123678,2.303057617200823e-24,0.5583085918869396,6.4054819110071205e-25,18.69688385269122,0.0338725985844287
188,iDnes.cz 100% Corpus,0,10,100,8,3,25,0.001,0,0.1813478887825036,0.0012044551783315,0.1292230339223757,0.0215813065198326,10.48158640226629,0.0
189,iDnes.cz 100% Corpus,1,10,100,1,3,20,0.001,0,0.3585109394439214,5.121361004724638e-11,0.3548377681320839,8.286258148729264e-11,10.48158640226629,0.0038518518518518
192,iDnes.cz 100% Corpus,0,15,50,2,2,20,0.01,0,0.1416429403095265,0.0109387571690379,0.1203801058963536,0.0308034646995239,8.78186968838527,0.0
193,iDnes.cz 100% Corpus,0,5,158,20,0,20,1e-05,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
195,iDnes.cz 100% Corpus,0,10,50,8,3,30,0.0001,0,0.0844160987028768,0.1343047067016611,0.0733692647500747,0.193318086857849,10.48158640226629,0.0
196,iDnes.cz 100% Corpus,0,15,450,20,5,20,0.001,0,0.0439318924887473,0.4445953597574844,-0.0622956359628671,0.2781285605431332,13.59773371104816,0.0
197,iDnes.cz 100% Corpus,0,10,200,8,8,20,0.001,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
199,iDnes.cz 100% Corpus,1,5,450,8,1,20,0.1,0,0.5118271639683162,3.645905760959585e-23,0.5044182828792145,1.9147401957027038e-22,7.64872521246459,0.0145669291338582
201,iDnes.cz 100% Corpus,1,15,100,5,1,25,0.0,0,0.4987319962553656,6.655062953738415e-22,0.5191201170843869,6.845076604076735e-24,7.64872521246459,0.0177165354330708
202,iDnes.cz 100% Corpus,1,10,50,8,0,20,1e-05,0,0.2558202915224158,2.8784665724334644e-06,0.2854620573404254,1.5724561898561958e-07,7.64872521246459,0.0074803149606299
